frec(GHz)   Temperatura[mK]   cont_sinlineas
      77.5633      -0.264960      -0.264960
      77.5945       0.209780       0.209780
      77.6258      -0.260142      -0.260142
      77.6570     -0.0973727     -0.0973727
      77.6883       0.652453       0.652453
      77.7195      -0.597571      -0.597571
      77.7508       0.478553       0.478553
      77.7820      -0.487536      -0.487536
      77.8133       0.484067       0.484067
      77.8445      -0.452873      -0.452873
      77.8758       0.242289       0.242289
      77.9070       0.169831       0.169831
      77.9383      -0.149189      -0.149189
      77.9695      -0.845301      -0.845301
      78.0008        1.56626        1.56626
      78.0320      -0.657668      -0.657668
      78.0633      -0.880680      -0.880680
      78.0945        1.75446        1.75446
      78.1258       -2.65729       -2.65729
      78.1570        2.97017        2.97017
      78.1883       -1.30165       -1.30165
      78.2195      -0.512142      -0.512142
      78.2508       0.940554       0.940554
      78.2820       -1.21779       -1.21779
      78.3133        1.54327        1.54327
      78.3445      -0.496440      -0.496440
      78.3758      -0.979840      -0.979840
      78.4070        1.08399        1.08399
      78.4383       -1.00247       -1.00247
      78.4695       0.839641       0.839641
      78.5008     -0.0499414     -0.0499414
      78.5320      -0.659883      -0.659883
      78.5633        1.66680        1.66680
      78.5945       -1.69495       -1.69495
      78.6258       0.341099       0.341099
      78.6570       0.275385       0.275385
      78.6883      -0.494354      -0.494354
      78.7195        1.07895        1.07895
      78.7508      -0.753089      -0.753089
      78.7820      -0.341156      -0.341156
      78.8133       0.893239       0.893239
      78.8445      -0.838206      -0.838206
      78.8758       0.456932       0.456932
      78.9070       0.219127       0.219127
      78.9383      -0.876815      -0.876815
      78.9695        1.30455        1.30455
      79.0008       -2.70124       -2.70124
      79.0320        3.30574        3.30574
      79.0633       -1.47438       -1.47438
      79.0945        1.01549        1.01549
      79.1258      -0.697826      -0.697826
      79.1570       -1.36454       -1.36454
      79.1883        1.89589        1.89589
      79.2195       -1.43902       -1.43902
      79.2508        1.45498        1.45498
      79.2820       -1.47080       -1.47080
      79.3133       0.792686       0.792686
      79.3445     -0.0518996     -0.0518996
      79.3758       0.138677       0.138677
      79.4070     -0.0444119     -0.0444119
      79.4383      0.0327367      0.0327367
      79.4695     -0.0967109     -0.0967109
      79.5008      -0.110931      -0.110931
      79.5320      0.0208186      0.0208186
      79.5633      0.0274779      0.0274779
