frec(GHz)	Temperatura[mK]	cont_sinlineas
102.231	-0.168007	-0.168007
102.262	0.0674735	0.0674735
102.293	0.205942	0.205942
102.324	-0.315973	-0.315973
102.356	-0.288489	-0.288489
102.387	0.561987	0.561987
102.418	0.027997	0.027997
102.449	-0.142068	-0.142068
102.481	-0.346148	-0.0879637
102.512	1.09328	0.0417685
102.543	2.21383	0.0408353
102.574	0.981461	0.0123051
102.606	0.979282	-0.0207921
102.637	-0.14262	-0.14262
102.668	0.0895482	0.0895482
102.699	-0.009682	-0.009682
102.731	0.151272	0.151272
102.762	-0.108596	-0.108596
102.793	-0.123669	-0.123669
102.824	0.205907	0.205907
102.856	-0.105411	-0.105411
102.887	-0.0487618	-0.0487618
102.918	0.109108	0.109108
102.949	-0.00445005	-0.00445005
102.981	-0.123663	-0.0371652
103.012	0.53775	-0.0132024
103.043	0.431672	-0.0181805
103.074	-0.199024	-0.0628392
103.106	-0.0277252	0.0961986
103.137	0.28482	0.28482
103.168	0.00173089	0.00173089
103.199	-0.612204	-0.612204
103.231	-0.00911052	-0.00911052
103.262	0.388607	0.388607
103.293	-0.0424406	-0.0424406
103.324	-0.144636	-0.144636
103.356	0.107405	0.107405
103.387	0.364787	0.364787
103.418	0.00812119	0.00812119
103.449	-0.631286	-0.631286
103.481	0.108729	0.108729
103.512	0.24439	0.160399
103.543	0.8404	0.0637677
103.574	0.607229	-0.0457498
103.606	1.05714	-0.00985175
103.637	0.670939	-0.0424889
103.668	0.0147821	0.0147821
103.699	0.172392	0.172392
103.731	0.0627378	0.0627378
103.762	-0.293637	-0.293637
103.793	-0.0970448	-0.0970448
103.824	0.123254	0.123254
103.856	-0.0588577	-0.0588577
103.887	0.0785652	0.0785652
103.918	0.145825	0.145825
103.949	0.116259	0.116259
103.981	-0.020499	-0.020499
104.012	-0.0340473	-0.0340473
104.043	-0.410907	-0.410907
104.074	-0.247585	-0.247585
104.106	0.367682	0.367682
104.137	0.215186	0.215186
104.168	0.0766226	0.0766226
104.199	0.119408	0.119408
104.231	-0.0952558	-0.0952558
104.262	-0.274893	-0.274893
104.293	-0.175252	-0.175252
104.324	0.13304	0.13304
104.356	0.301886	0.301886
104.387	0.0145285	0.0145285
104.418	-0.23885	-0.23885
104.449	-0.0913737	-0.0913737
104.481	0.164378	0.164378
104.512	-0.251635	-0.251635
104.543	0.293829	0.293829
104.574	0.144276	0.144276
104.606	0.028688	0.028688
104.637	-0.526825	-0.526825
104.668	0.108206	0.108206
104.699	0.301123	0.301123
104.731	0.0116058	0.0116058
104.762	-0.465452	-0.465452
104.793	0.536222	0.536222
104.824	0.0335884	0.0335884
104.856	-0.138101	-0.138101
104.887	-0.465153	-0.465153
104.918	0.366754	0.366754
104.949	0.121709	0.121709
104.981	0.136373	0.136373
105.012	-0.45883	-0.45883
105.043	0.203696	0.203696
105.074	-0.364586	-0.364586
105.106	0.508402	0.508402
105.137	-0.0240514	-0.0240514
105.168	-0.0550648	-0.0550648
105.199	-0.114477	-0.114477
105.231	0.00485146	0.00485146
105.262	0.079188	0.079188
105.293	0.115031	0.115031
105.324	-0.301694	-0.301694
